Annual Total,April,August,December,District,February,January,July,June,March,May,November,October,September,State,Year,_id
"",,,,Lahaul and Spiti,,,,,,,,,,Himachal Pradesh,2006,5b0558d45cfe9b8414e39a04
"",,,,Lahaul and Spiti,,,,,,,,,,Himachal Pradesh,2007,5b0558d45cfe9b8414e39a05
"",,,,Punch,,,,,,,,,,Jammu and Kashmir,2009,5b0558d35cfe9b8414e38e3b
"",,,,Lahaul and Spiti,,,,,,,,,,Himachal Pradesh,2008,5b0558d45cfe9b8414e39a06
619.7,81.5,32.9,30.2,Lahaul and Spiti,72.6,71.2,40.0,31.6,31.2,62.2,40.1,14.1,112.1,Himachal Pradesh,2009,5b0558d45cfe9b8414e39a07
"",3.5,396.5,0.0,Punch,,,415.0,75.5,,76.5,0.0,15.0,108.1,Jammu and Kashmir,2010,5b0558d35cfe9b8414e38e3c
813.8,103.7,42.9,52.0,Lahaul and Spiti,86.6,16.6,143.5,100.0,57.7,134.3,4.3,27.7,44.5,Himachal Pradesh,2010,5b0558d45cfe9b8414e39a08
1555.1,291.6,162.5,25.0,Punch,192.0,55.0,157.5,272.0,77.0,54.5,0.0,13.0,255.0,Jammu and Kashmir,2011,5b0558d35cfe9b8414e38e3d
471.5,74.5,108.6,4.0,Lahaul and Spiti,81.3,36.4,4.3,22.5,66.7,21.1,1.2,10.7,40.2,Himachal Pradesh,2011,5b0558d45cfe9b8414e39a09
455.4,63.6,33.4,38.5,Lahaul and Spiti,75.4,44.0,5.0,19.6,73.7,27.0,6.4,0.3,68.5,Himachal Pradesh,2012,5b0558d45cfe9b8414e39a0a
1826.5,197.5,530.0,47.0,Punch,177.0,139.0,171.0,12.5,77.0,59.5,30.0,25.0,361.0,Jammu and Kashmir,2012,5b0558d35cfe9b8414e38e3e
509.6,31.8,32.7,11.3,Lahaul and Spiti,148.9,58.4,8.9,64.1,82.3,42.0,12.9,2.4,13.9,Himachal Pradesh,2013,5b0558d45cfe9b8414e39a0b
1058.1,104.0,60.3,0.2,Punch,299.0,45.0,243.7,185.5,30.0,0.0,0.0,28.9,61.5,Jammu and Kashmir,2013,5b0558d35cfe9b8414e38e3f
538.6,45.7,14.6,16.6,Lahaul and Spiti,110.9,70.6,24.7,13.2,111.1,70.8,9.5,9.5,41.4,Himachal Pradesh,2014,5b0558d45cfe9b8414e39a0c
1170.1,25.6,303.9,11.4,Mandi,12.7,137.2,302.7,128.5,0.0,56.5,0.3,116.7,74.6,Himachal Pradesh,2004,5b0558d45cfe9b8414e39a0d
246.0,0.0,44.5,0.0,Punch,3.0,0.8,39.0,9.9,3.0,53.2,17.1,32.6,42.9,Jammu and Kashmir,2014,5b0558d35cfe9b8414e38e40
1264.4,6.8,147.4,0.1,Mandi,147.2,49.6,561.4,110.2,82.5,21.7,0.0,1.7,135.8,Himachal Pradesh,2005,5b0558d45cfe9b8414e39a0e
1265.2,36.1,317.1,32.5,Mandi,2.8,53.7,338.6,99.9,84.4,99.1,9.1,22.7,169.2,Himachal Pradesh,2006,5b0558d45cfe9b8414e39a0f
"",,,,Rajouri,,,,,,,,,,Jammu and Kashmir,2004,5b0558d35cfe9b8414e38e41
1472.3,5.9,429.7,22.1,Mandi,123.0,0.0,379.9,167.6,169.9,55.9,0.0,5.2,113.1,Himachal Pradesh,2007,5b0558d45cfe9b8414e39a10
"",,,,Rajouri,,,,,,,,,,Jammu and Kashmir,2005,5b0558d35cfe9b8414e38e42
4048.7,213.6,850.8,2.9,Tirap,61.2,80.6,1010.2,720.8,74.6,378.0,63.4,200.4,392.2,Arunachal Pradesh,2009,5b0558d45cfe9b8414e39122
3478.5,355.6,508.0,17.3,Tirap,9.4,12.2,624.2,645.3,187.0,442.0,29.6,84.8,563.1,Arunachal Pradesh,2010,5b0558d45cfe9b8414e39123
1648.0,109.3,239.9,2.8,Tirap,26.0,33.6,380.0,328.6,84.4,104.6,7.6,91.4,239.8,Arunachal Pradesh,2011,5b0558d45cfe9b8414e39124
"",,,,Upper Siang,,,,,,,,,,Arunachal Pradesh,2004,5b0558d45cfe9b8414e39125
"",322.2,0.0,0.0,Upper Siang,216.3,,,,,142.7,0.0,92.7,139.0,Arunachal Pradesh,2005,5b0558d45cfe9b8414e39126
"",,,0.0,Upper Siang,,,719.0,,,0.0,124.7,323.0,784.7,Arunachal Pradesh,2006,5b0558d45cfe9b8414e39127
"",0.0,0.0,3.0,Upper Siang,0.0,28.1,,474.0,59.1,,8.0,,,Arunachal Pradesh,2007,5b0558d45cfe9b8414e39128
"",0.0,357.5,6.9,Upper Siang,0.0,,,,,113.7,,,289.2,Arunachal Pradesh,2008,5b0558d45cfe9b8414e39129
"",0.0,,0.0,Upper Siang,,15.0,,,,,,,,Arunachal Pradesh,2009,5b0558d45cfe9b8414e3912a
"",124.3,434.5,8.7,Upper Siang,,0.0,551.0,713.2,306.8,354.8,105.7,335.7,899.0,Arunachal Pradesh,2010,5b0558d45cfe9b8414e3912b
4198.7,702.5,231.6,22.2,Upper Siang,238.8,163.9,853.8,604.2,229.0,245.4,32.2,146.3,728.8,Arunachal Pradesh,2011,5b0558d45cfe9b8414e3912c
1306.5,98.1,134.0,21.2,Upper Subansiri,53.0,34.0,236.6,240.6,76.2,144.8,3.0,97.4,167.6,Arunachal Pradesh,2004,5b0558d45cfe9b8414e3912d
"",83.4,225.8,0.0,Upper Subansiri,112.8,21.0,225.6,398.2,181.0,196.6,51.0,123.3,,Arunachal Pradesh,2005,5b0558d45cfe9b8414e3912e
"",,450.6,,Lohardaga,,,155.5,484.5,,,0.0,15.0,368.5,Jharkhand,2011,5b0558d45cfe9b8414e3912f
"",,117.9,,Lohardaga,,,195.5,256.5,,160.0,7.6,0.0,12.6,Jharkhand,2012,5b0558d45cfe9b8414e39130
"",,346.4,0.0,Lohardaga,0.0,0.0,276.5,203.3,,,0.0,254.0,148.1,Jharkhand,2013,5b0558d45cfe9b8414e39131
1065.6,17.2,210.8,0.0,Lohardaga,72.4,8.3,217.2,47.5,39.8,118.2,0.0,15.8,318.4,Jharkhand,2014,5b0558d45cfe9b8414e39132
"",55.0,21.6,0.0,Pakur,0.0,0.0,240.0,483.0,,17.6,0.0,117.8,176.2,Jharkhand,2004,5b0558d45cfe9b8414e39133
"",11.4,,,Pakur,0.0,52.4,644.4,137.3,100.0,57.3,0.0,,,Jharkhand,2005,5b0558d45cfe9b8414e39134
"",,,,Pakur,,,,,,,,,,Jharkhand,2006,5b0558d45cfe9b8414e39135
"",,,,Pakur,,,,,,,,,,Jharkhand,2007,5b0558d45cfe9b8414e39136
"",,,,Pakur,,,,,,,,,,Jharkhand,2008,5b0558d45cfe9b8414e39137
"",,0.0,,Pakur,,,233.6,,,,,195.0,348.1,Jharkhand,2009,5b0558d45cfe9b8414e39138
"",,291.0,,Pakur,,,331.0,,,,0.0,80.0,246.0,Jharkhand,2010,5b0558d45cfe9b8414e39139
